timee,something,blink,one,two,three,four
23:46:32.329,VM179:70,blink,12.23,1.32,2.82,-0.34,
23:46:32.362,VM179:70,blink,20.70,2.50,2.74,-0.25,
23:46:39.524,VM179:70,blink,16.00,5.18,6.44,0.73,
23:46:54.855,VM179:70,blink,40.03,1.79,1.84,-0.09,
23:47:06.024,VM179:70,blink,106.29,1.44,1.41,-0.03,
23:47:12.248,VM179:70,blink,65.83,0.24,0.50,0.01,
23:47:12.283,VM179:70,blink,21.33,0.63,1.07,0.08,
23:47:12.419,VM179:70,blink,87.35,1.01,1.52,0.03,
23:47:12.454,VM179:70,blink,29.78,1.41,2.12,0.12,
23:47:17.942,VM179:70,blink,17.57,0.89,1.47,-0.13,
23:47:17.982,VM179:70,blink,45.13,1.59,1.47,-0.07,
23:47:33.943,VM179:70,blink,19.79,1.26,1.28,-0.13,
23:47:37.355,VM179:70,blink,12.10,2.99,3.73,0.56,
23:47:37.831,VM179:70,blink,44.93,0.64,0.13,0.02,
23:47:37.998,VM179:70,blink,46.73,1.22,-0.32,-0.02,
23:47:42.678,VM179:70,blink,39.36,0.50,0.90,0.04,
23:47:53.245,VM179:70,blink,40.17,0.45,1.43,0.05,
23:48:04.226,VM179:70,blink,43.30,2.88,2.85,0.13,
23:48:11.917,VM179:70,blink,26.06,0.70,1.46,-0.08,
23:48:11.953,VM179:70,blink,46.91,0.74,1.25,0.04,
23:48:20.780,VM179:70,blink,16.71,4.32,2.73,-0.42,
23:48:21.909,VM179:70,blink,67.87,0.94,0.96,-0.03,
23:48:26.777,VM179:70,blink,63.96,0.58,1.29,-0.03,
23:48:26.843,VM179:70,blink,12.88,0.78,1.29,-0.16,
23:48:41.970,VM179:70,blink,12.27,0.83,1.46,0.19,
23:48:42.003,VM179:70,blink,14.69,2.62,1.95,0.31,
23:48:52.527,VM179:70,blink,53.18,3.62,3.11,-0.13,
23:48:57.701,VM179:70,blink,18.43,1.82,2.01,0.21,
23:49:00.785,VM179:70,blink,22.13,3.63,5.69,0.42,
23:49:19.197,VM179:70,blink,40.25,2.79,3.40,0.15,
23:49:30.692,VM179:70,blink,115.78,4.03,4.63,0.07,
23:49:40.665,VM179:70,blink,46.89,3.22,2.47,0.12,
23:49:52.267,VM179:70,blink,51.34,0.51,0.72,0.02,
23:49:53.695,VM179:70,blink,17.81,2.93,4.10,0.39,
23:49:53.764,VM179:70,blink,81.15,3.64,2.62,0.08,
23:50:12.882,VM179:70,blink,16.82,1.25,1.50,-0.16,
23:50:13.476,VM179:70,blink,19.19,0.57,1.51,0.11,
23:50:13.571,VM179:70,blink,29.58,2.04,3.08,0.17,
23:50:14.008,VM179:70,blink,13.33,4.71,5.94,0.80,
23:50:50.034,VM179:70,blink,12.32,0.56,0.75,0.11,
23:50:50.069,VM179:70,blink,57.88,2.37,3.21,0.10,
23:51:09.772,VM179:70,blink,163.69,1.11,2.45,-0.02,
23:51:09.804,VM179:70,blink,112.08,0.63,0.72,0.01,
23:51:17.482,VM179:70,blink,39.92,0.66,0.81,0.04,
23:51:17.515,VM179:70,blink,39.10,0.50,0.52,-0.03,
23:51:36.786,VM179:70,blink,23.87,0.64,0.49,-0.05,
23:51:46.732,VM179:70,blink,13.08,0.86,0.75,-0.12,
23:51:46.769,VM179:70,blink,16.86,0.72,0.48,0.07,
23:51:57.815,VM179:70,blink,14.77,0.49,0.52,-0.07,
23:52:00.405,VM179:70,blink,57.54,1.58,1.32,0.05,
23:52:00.449,VM179:70,blink,22.43,0.92,1.10,-0.09,
23:52:03.136,VM179:70,blink,83.69,0.91,1.09,-0.02,
23:52:09.686,VM179:70,blink,18.22,1.26,1.42,0.15,
23:52:19.100,VM179:70,blink,46.35,0.74,1.19,-0.04,
23:52:22.562,VM179:70,blink,32.83,0.88,1.66,-0.08,
23:52:25.751,VM179:70,blink,19.43,0.10,0.46,0.03,
23:52:30.210,VM179:70,blink,350.40,0.52,0.56,0.00,
23:52:30.319,VM179:70,blink,18.40,0.71,0.95,-0.09,
23:52:30.400,VM179:70,blink,18.29,3.34,4.05,0.40,
23:52:36.427,VM179:70,blink,31.80,0.19,0.43,0.02,
23:52:36.468,VM179:70,blink,15.56,0.53,1.01,0.10,
23:52:36.503,VM179:70,blink,45.83,1.21,1.69,0.06,
23:52:43.065,VM179:70,blink,117.19,1.88,2.26,0.04,
23:52:52.895,VM179:70,blink,30.83,0.71,1.21,0.06,
23:52:54.198,VM179:70,blink,15.69,0.66,1.03,0.11,
23:52:57.692,VM179:70,blink,41.82,3.54,3.88,0.18,
23:53:23.486,VM179:70,blink,25.08,1.15,1.13,-0.09,
23:53:38.660,VM179:70,blink,23.22,0.18,0.42,-0.03,
23:53:38.698,VM179:70,blink,13.35,2.06,1.18,0.24,
23:53:39.549,VM179:70,blink,592.28,2.16,3.12,0.01,
23:53:46.597,VM179:70,blink,52.51,1.44,1.87,-0.06,
23:53:46.631,VM179:70,blink,15.48,0.23,0.62,-0.06,
23:53:52.966,VM179:70,blink,52.20,0.35,0.57,0.02,
23:53:53.034,VM179:70,blink,41.05,1.51,2.74,0.10,
23:54:02.012,VM179:70,blink,17.18,0.58,0.96,-0.09,
23:54:02.044,VM179:70,blink,16.85,0.66,1.17,-0.11,
23:54:09.165,VM179:70,blink,37.64,1.99,2.66,-0.12,
23:54:11.420,VM179:70,blink,14.87,2.78,2.74,0.37,
23:54:17.985,VM179:70,blink,81.30,0.69,0.83,0.02,
23:54:28.949,VM179:70,blink,13.99,3.07,3.79,-0.49,
23:54:32.066,VM179:70,blink,18.33,0.73,0.86,-0.09,
23:54:42.595,VM179:70,blink,22.47,2.04,1.85,0.17,
23:54:50.642,VM179:70,blink,105.01,-0.27,1.45,-0.01,
23:54:56.727,VM179:70,blink,17.64,3.66,2.29,0.34,
23:55:05.432,VM179:70,blink,15.78,0.42,0.52,0.06,
23:55:07.574,VM179:70,blink,28.24,1.79,1.59,0.12,
23:55:07.606,VM179:70,blink,142.83,0.41,0.48,-0.01,
23:55:09.307,VM179:70,blink,14.25,1.11,1.30,0.17,
23:55:15.144,VM179:70,blink,32.32,0.58,0.74,0.04,
23:55:15.208,VM179:70,blink,36.45,1.33,1.61,0.08,
23:55:15.244,VM179:70,blink,20.08,0.77,0.89,-0.08,
23:55:15.275,VM179:70,blink,31.79,0.80,0.11,0.03,
23:55:15.309,VM179:70,blink,14.32,0.42,0.16,-0.04,
23:55:19.660,VM179:70,blink,110.42,0.50,0.38,-0.01,
23:55:19.728,VM179:70,blink,21.66,0.69,0.43,-0.05,
23:55:24.189,VM179:70,blink,24.18,1.29,-5.24,-0.16,
23:55:29.278,VM179:70,blink,14.76,4.90,5.05,-0.67,
23:55:29.319,VM179:70,blink,46.12,0.14,0.45,0.01,
23:55:30.997,VM179:70,blink,271.10,1.01,-0.38,0.00,
23:55:40.083,VM179:70,blink,69.17,1.08,1.30,0.03,
23:55:47.970,VM179:70,blink,15.44,1.60,1.61,0.21,
23:55:52.977,VM179:70,blink,12.68,0.36,0.69,-0.08,
23:55:57.821,VM179:70,blink,26.49,0.81,1.18,0.08,
23:56:02.843,VM179:70,blink,17.69,3.71,2.94,-0.38,
23:56:03.342,VM179:70,blink,17.37,1.05,0.85,-0.11,
23:56:03.381,VM179:70,blink,32.35,0.98,0.71,-0.05,
23:56:04.133,VM179:70,blink,95.42,0.91,-0.15,-0.01,
23:56:07.096,VM179:70,blink,47.09,0.49,0.94,-0.03,
23:56:07.133,VM179:70,blink,22.38,0.38,0.50,-0.04
