timee,something,blink,one,two,three,four
12:48:19.739,VM151:70,blink,12.46,1.04,1.43,-0.20,
12:48:29.661,VM151:70,blink,139.60,0.34,0.89,0.01,
12:48:29.695,VM151:70,blink,28.83,0.78,1.48,0.08,
12:48:29.729,VM151:70,blink,16.74,0.60,0.51,0.07,
12:48:44.930,VM151:70,blink,14.58,0.50,0.87,0.09,
12:48:44.967,VM151:70,blink,81.25,0.94,1.63,-0.03,
12:48:45.265,VM151:70,blink,29.67,0.50,0.72,0.04,
12:48:45.305,VM151:70,blink,14.23,1.08,1.70,0.20,
12:48:49.747,VM151:70,blink,187.73,1.16,2.19,0.02,
12:48:49.781,VM151:70,blink,12.81,0.39,0.52,-0.07,
12:48:57.987,VM151:70,blink,41.28,3.63,5.20,-0.21,
12:49:15.717,VM151:70,blink,13.50,0.37,0.96,0.10,
12:49:15.757,VM151:70,blink,171.60,2.29,3.04,-0.03,
12:49:26.265,VM151:70,blink,62.96,0.44,0.76,0.02,
12:49:26.475,VM151:70,blink,177.14,2.98,3.19,-0.03,
12:49:26.516,VM151:70,blink,421.42,1.18,0.87,0.00,
12:49:37.006,VM151:70,blink,17.41,1.54,2.52,0.23,
12:49:37.049,VM151:70,blink,13.64,2.35,2.57,0.36,
12:49:43.781,VM151:70,blink,70.03,0.88,2.02,0.04,
12:49:52.525,VM151:70,blink,14.09,0.58,1.24,-0.13,
12:49:52.562,VM151:70,blink,54.70,1.70,2.41,-0.08,
12:49:52.603,VM151:70,blink,63.88,1.53,1.19,0.04,
12:49:52.648,VM151:70,blink,64.50,0.45,0.36,0.01,
12:49:56.420,VM151:70,blink,271.68,0.42,0.55,-0.00,
12:49:56.657,VM151:70,blink,15.24,0.44,0.09,0.03,
12:49:57.805,VM151:70,blink,12.11,1.80,-0.07,0.14,
12:49:57.839,VM151:70,blink,197.46,3.93,1.82,0.03,
12:50:05.023,VM151:70,blink,54.27,1.22,1.10,0.04,
12:50:29.734,VM151:70,blink,22.43,0.29,0.47,0.03,
12:50:29.777,VM151:70,blink,13.50,0.72,1.43,0.16,
12:50:29.822,VM151:70,blink,70.78,0.99,1.07,0.03,
12:50:38.974,VM151:70,blink,336.97,0.68,1.26,0.01,
12:50:39.700,VM151:70,blink,51.18,0.74,1.92,-0.05,
12:50:39.744,VM151:70,blink,44.11,1.61,2.94,-0.10,
12:51:01.713,VM151:70,blink,44.79,3.69,2.93,-0.15,
12:51:08.404,VM151:70,blink,406.92,1.37,2.49,0.01,
12:51:08.441,VM151:70,blink,64.33,2.04,1.95,0.06,
12:51:09.749,VM151:70,blink,73.68,0.54,0.03,-0.01,
12:51:15.179,VM151:70,blink,16.45,0.48,0.75,0.07,
12:51:15.222,VM151:70,blink,13.92,0.33,0.51,-0.06,
12:51:15.677,VM151:70,blink,542.55,1.88,3.19,0.01,
12:51:23.884,VM151:70,blink,35.40,0.41,0.64,-0.03,
12:51:23.924,VM151:70,blink,159.08,0.63,0.98,-0.01,
12:51:23.961,VM151:70,blink,23.67,0.42,0.58,0.04,
12:51:30.711,VM151:70,blink,15.90,0.29,0.64,0.06,
12:51:30.902,VM151:70,blink,124.77,0.60,0.83,0.01,
12:51:30.943,VM151:70,blink,44.93,0.77,1.10,-0.04,
12:51:36.664,VM151:70,blink,227.94,1.58,2.41,-0.02,
12:51:41.778,VM151:70,blink,74.06,0.16,0.44,-0.01,
12:51:41.818,VM151:70,blink,16.61,0.55,0.85,-0.08,
12:51:41.860,VM151:70,blink,76.64,1.19,1.12,0.03,
12:51:57.120,VM151:70,blink,1372.45,1.33,1.96,-0.00,
12:51:57.690,VM151:70,blink,38.31,1.36,2.02,0.09,
12:51:57.726,VM151:70,blink,25.73,0.34,0.46,-0.03,
12:52:12.985,VM151:70,blink,38.01,1.22,1.93,-0.08,
12:52:13.021,VM151:70,blink,60.88,1.40,1.51,-0.05,
12:52:24.738,VM151:70,blink,72.35,0.58,0.86,-0.02,
12:52:35.540,VM151:70,blink,92.47,0.65,1.06,-0.02,
12:52:35.578,VM151:70,blink,75.04,1.05,1.08,-0.03,
12:52:50.083,VM151:70,blink,15.10,0.48,0.85,-0.09,
12:52:50.124,VM151:70,blink,14.26,0.85,1.22,-0.15,
12:52:50.166,VM151:70,blink,24.25,1.47,1.68,-0.13,
12:52:50.205,VM151:70,blink,15.21,1.23,0.98,-0.15,
12:53:13.795,VM151:70,blink,12.45,1.39,2.19,0.29,
12:53:22.899,VM151:70,blink,422.56,3.24,2.33,0.01,
12:53:34.810,VM151:70,blink,23.30,0.75,1.59,-0.10,
12:53:34.845,VM151:70,blink,376.95,0.71,1.19,0.01,
12:53:54.812,VM151:70,blink,18.79,1.17,1.89,-0.16,
12:54:00.867,VM151:70,blink,12.60,1.06,1.79,0.23,
12:54:00.911,VM151:70,blink,54.05,3.58,4.26,0.15,
12:54:00.960,VM151:70,blink,12.68,0.53,0.37,-0.07,
12:54:01.438,VM151:70,blink,31.05,0.87,1.86,0.09,
12:54:01.477,VM151:70,blink,393.47,1.20,3.04,-0.01,
12:54:02.622,VM151:70,blink,20.42,0.66,0.71,0.07,
12:54:02.660,VM151:70,blink,2212.81,0.56,0.59,-0.00,
12:54:08.738,VM151:70,blink,14.20,1.36,1.53,0.20,
12:55:01.621,VM151:70,blink,12.60,1.37,2.01,-0.27,
12:55:04.483,VM151:70,blink,16.59,0.52,0.61,0.07,
12:55:08.970,VM151:70,blink,14.79,2.43,2.92,0.36,
12:55:14.279,VM151:70,blink,19.16,0.29,0.85,-0.06,
12:55:14.323,VM151:70,blink,859.93,0.68,1.13,0.00,
12:55:27.349,VM151:70,blink,20.19,3.81,3.75,0.37,
12:55:28.638,VM151:70,blink,12.04,0.83,1.67,-0.21,
12:55:28.676,VM151:70,blink,23.16,1.48,2.70,-0.18,
12:55:33.302,VM151:70,blink,26.95,1.62,2.14,0.14,
12:55:33.336,VM151:70,blink,26.05,1.62,2.95,0.18,
12:55:41.481,VM151:70,blink,26.54,0.52,0.79,-0.05,
12:55:41.520,VM151:70,blink,30.02,0.86,1.17,0.07,
12:56:36.186,VM151:70,blink,1564.59,0.85,0.80,-0.00,
12:56:36.222,VM151:70,blink,187.45,2.09,2.59,-0.02,
12:56:37.285,VM151:70,blink,27.31,0.25,0.58,0.03,
12:56:37.319,VM151:70,blink,22.83,0.99,1.71,0.12,
12:57:06.642,VM151:70,blink,13.08,0.98,1.17,0.16,
12:57:13.539,VM151:70,blink,12.53,0.94,1.11,0.16,
12:57:15.120,VM151:70,blink,18.90,1.10,0.91,-0.11,
12:57:27.858,VM151:70,blink,98.66,3.15,2.90,-0.06,
12:57:36.536,VM151:70,blink,25.78,0.41,0.92,0.05,
12:57:43.414,VM151:70,blink,33.86,0.70,2.95,0.11,
12:57:43.449,VM151:70,blink,23.28,2.75,2.37,0.22,
12:57:53.280,VM151:70,blink,12.02,0.71,0.91,-0.13,
12:57:57.779,VM151:70,blink,42.87,0.15,0.55,-0.02,
12:57:57.822,VM151:70,blink,60.05,0.47,1.15,0.03,
12:58:13.376,VM151:70,blink,13.81,1.94,2.45,-0.32,
12:58:13.417,VM151:70,blink,45.66,1.48,2.16,-0.08,
12:58:39.684,VM151:70,blink,12.02,0.38,0.65,0.09,
12:58:39.726,VM151:70,blink,46.90,0.83,1.49,-0.05,
12:58:39.764,VM151:70,blink,148.39,0.89,1.50,-0.02,
12:58:40.194,VM151:70,blink,22.33,0.98,1.31,0.10,
12:58:50.962,VM151:70,blink,62.30,2.37,3.48,-0.09,
12:58:55.879,VM151:70,blink,31.94,3.90,4.34,0.26,
12:59:07.244,VM151:70,blink,21.16,0.45,0.41,0.04,
12:59:24.434,VM151:70,blink,28.83,1.88,2.43,0.15,
12:59:24.476,VM151:70,blink,45.28,1.50,2.63,0.09,
12:59:28.532,VM151:70,blink,16.56,0.23,0.52,0.05,
12:59:28.578,VM151:70,blink,36.37,2.02,3.12,0.14,
12:59:28.659,VM151:70,blink,181.41,1.11,1.57,0.01,
12:59:34.474,VM151:70,blink,12.41,0.85,0.83,-0.14,
12:59:40.441,VM151:70,blink,20.67,0.67,0.76,0.07,
13:00:04.017,VM151:70,blink,51.63,1.38,2.10,0.07,
13:00:04.073,VM151:70,blink,22.48,3.41,3.72,0.32,
13:00:18.182,VM151:70,blink,36.43,0.24,0.42,0.02,
13:00:18.218,VM151:70,blink,38.31,1.50,1.77,-0.09,
13:00:18.255,VM151:70,blink,676.85,1.44,1.22,0.00
