	time	mood	social	alone	morale	stress	fatigue	compulsions	with_k_activity	therapy_activity	work_activity	working_activity	with_parents_activity	errandss_activity	washing_up_activity	school_work_activity	reading_activity	commuting_activity	meditation_activity	shopping_activity	tv_activity	chatting_activity	studying_activity	email_activity	eating_activity	workshop_activity	in_class_activity	just_woke_up_activity	cooking_activity	errands_activity	schoolwork_activity	feedly_activity	ash_stuff_activity	resting_activity	with_friends_activity	getting_ready_activity	working_out_activity	trying_to_leave_apt_activity	leisure_activity	mountain_view_location	vacation_location	la_location	parents_home_location	therapy_location	home_location	michelle_home_location	airport_location	k_home_location	cafe_location	library_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	calorie	distance	mean_speed
31	2018-05-21 22:48:48.799661-04:00	3.5	1	False	3.0	0.0	3.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.505076	0.655301	0.533911	0.0	0.917657	0.0	0.0	69.90470423978918	32.65589269209726	-14.017277154005042	0	11.46	20	1	13	2	0	0.0	0.0	0.0
32	2018-05-22 10:33:49.423204-04:00	3.5	3	True	2.0	0.0	4.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.6451	0.0	0.65656	0.0	0.882987	0.0	0.0	96.70419259027604	17.713119792726335	-1.8563328621402064	9	24.41	19	1	18	3	0	0.0	0.0	0.0
33	2018-05-22 12:31:08.520840-04:00	3.0	0	True	3.0	0.0	3.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.15902808820698	12.14395211358935	-3.083735100820031	6	15.36	19	1	11	2	0	0.0	0.0	0.0
34	2018-05-22 13:32:14.696994-04:00	3.0	2	True	3.0	0.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.978371	0.0	0.0	97.37012775441542	0.47864836734286287	-0.1165697382685833	9	38.38	19	1	43	4	0	0.0	0.0	0.0
35	2018-05-22 14:35:31.013203-04:00	3.0	1	True	3.0	0.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.543253	0.518602	0.542263	0.0	0.929844	0.0	0.0	98.06094657452815	3.526739369658311	0.02475085413763287	6	46.42	19	1	23	4	0	0.0	0.0	0.0
36	2018-05-22 15:36:22.071392-04:00	3.0	1	True	2.5	0.0	3.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.627525	0.622144	0.0	0.0	0.0	0.939384	91.18486869625929	11.06645649564036	3.7711156189926274	7	47.96	19	1	11	3	0	0.0	0.0	0.0
37	2018-05-22 16:53:15.598141-04:00	3.5	0	True	3.5	0.5	3.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.627525	0.622144	0.0	0.0	0.0	0.939384	95.95823611304874	2.1478681540205367	-0.7071797439030238	3	58.96	25	2	116	37	1	0.0	0.0	0.0
38	2018-05-22 17:54:15.653515-04:00	3.5	1	True	3.5	0.0	3.0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.627525	0.622144	0.0	0.0	0.0	0.939384	96.4523096364695	4.812158677388322	-0.42324802325322075	2	86.63	21	2	33	13	0	0.0	0.0	0.0
39	2018-05-22 20:10:34.307340-04:00	4.0	4	False	3.0	0.0	3.5	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.589822	0.0	0.581504	0.0	0.948691	0.0	0.0	96.4523096364695	4.812158677388322	-0.42324802325322075	2	58.61	19	1	55	6	0	0.0	0.0	0.0
40	2018-05-22 23:45:01.513551-04:00	3.0	2	False	2.0	0.0	4.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.863024	0.0	0.0	98.05908877953239	8.30087608218436	-0.10784400698890828	9	67.78	22	1	39	10	0	0.0	0.0	0.0
