distance	duration	create_time	mean_speed	calorie
1049.43	926715	1533101795.008	1.1324193	45.35
1591.22	1381162	1517463294.257	1.1520878	68.12
1990.54	1448417	1517982173.931	1.3742865	85.93
2648.8901	2198574	1531462076.385	1.2048218	116.46
1987.36	1543369	1492127371.843	1.2876765	87.68
1028.59	957993	1523600697.471	1.0736926	47.47
826.97	720577	1517983253.322	1.1476498	35.36
1662.0499	1442025	1521493200.805	1.1525806	73.409996
1005.56	788675	1511170296.233	1.2749991	43.63
754.18	666733	1536264524.576	1.1311575	32.32
1392.24	1060721	1502242262.486	1.3125412	59.45
798.45	666753	1501995297.647	1.1975199	34.11
1174.46	941650	1534654259.937	1.2472363	50.07
1441.14	1191986	1512344978.965	1.2090244	61.260002
870.96	792244	1527544499.8	1.0993582	37.76
983.69	709099	1500061240.495	1.3872393	43.05
885.06	704427	1522015546.693	1.2564254	42.23
1287.53	1094266	1496616696.226	1.1766151	55.32
1173.19	961718	1509843537.809	1.2198899	50.44
821.35	683078	1500678267.679	1.2024249	37.77
788.65	665613	1507450817.47	1.1848477	34.17
1012.41	895112	1495215797.21	1.1310427	44.05
2172.6199	1738794	1493083656.906	1.2494982	95.37
708.48	659780	1533589883.235	1.0738125	30.8
3710.3	2777414	1517965034.309	1.335883	159.77
1123.37	914450	1519258374.871	1.2284653	54.89
1091.61	836731	1536868905.656	1.3046128	47.64
1159.3099	899702	1527109246.114	1.2885488	50.329998
1473.92	1050734	1492740405.01	1.4027526	62.17
1504.76	1178025	1532496481.696	1.2773583	70.68
879.42	745744	1519425297.971	1.1792518	37.8
1041.84	845869	1507016818.477	1.23168	47.9
889.89	660442	1502910180.606	1.3474159	37.89
1229.41	1129358	1517030039.173	1.0885919	52.88
2160.44	1655653	1497365725.563	1.304887	96.47
704.54	652291	1526619354.071	1.0801007	33.72
1001.27997	757378	1515827340.474	1.3220348	43.31
1466.76	1266378	1509510453.644	1.1582325	62.62
2130.05	1612403	1505027943.777	1.3210407	91.46
1825.15	1524801	1508988142.566	1.1969758	77.86
1734.33	1323497	1512496652.517	1.3104148	74.97
946.95	729801	1508982738.271	1.2975456	42.89
1133.89	874936	1499202683.8	1.2959691	48.63
1004.08	784401	1510990904.343	1.2800596	49.149998
947.79	768931	1493746100.686	1.2326074	41.239998
1320.82	1083412	1536107527.424	1.2191299	56.38
1938.04	1366260	1500188584.552	1.4185002	82.46
961.6	725281	1507876984.321	1.3258309	41.89
1160.97	892233	1495689016.717	1.301196	53.14
1693.22	1289161	1518030176.688	1.3134279	71.95
2009.05	1492782	1510723063.11	1.3458428	91.4
1592.27	1265502	1523587526.588	1.2582122	68.42
1005.83	803753	1517298461.243	1.2514168	46.86
1103.07	901786	1508999700.98	1.2232059	47.19
1619.33	1267310	1536696561.124	1.2777693	69.53
1542.57	1201911	1533254344.75	1.2834312	67.64
2765.7	2068493	1516068187.05	1.3370605	117.41
1027.52	772981	1495128717.634	1.3292953	44.48
970.49	730637	1534888574.716	1.3282794	41.19
1108.2	907758	1505333739.687	1.22081	48.02
2407.06	1782881	1524861685.461	1.3500956	102.96
1567.16	1267245	1507266360.419	1.2366669	67.19
1946.4401	1533123	1529973063.119	1.2695915	83.13
729.59	647723	1507665018.889	1.126392	32.85
962.44	794246	1525380791.391	1.2117655	45.36
2135.26	1648835	1520660822.711	1.2950113	92.42
819.17	647455	1531025653.855	1.2652154	34.54
1709.9	1270912	1518485758.503	1.3454118	75.7
2258.33	1669462	1518479697.982	1.3527291	97.840004
