com.samsung.shealth.calories_burned,6000085,1
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,5965862,com.sec.android.app.shealth,2017-11-18 05:00:05.402,2017-11-17 05:00:44.878,42014d3e-7ed0-4d13-b3c5-eb27e28283ff,1276.9783,340.48965,1510876800000,avnWu77KPA
0.0,8397190,com.sec.android.app.shealth,2018-09-14 03:30:05.338,2018-09-13 04:00:01.077,421c6157-64cc-42dd-8b02-0af32fb9c54e,1206.067,467.01428,1536796800000,dgrrqaEJmv
0.0,7756023,com.sec.android.app.shealth,2018-09-02 04:00:01.286,2018-09-01 04:00:00.604,42609576-70b3-467c-8f14-7cb9feb2f673,1244.6163,399.9381,1535760000000,dgrrqaEJmv
0.0,5706954,com.sec.android.app.shealth,2017-12-01 05:35:48.596,2017-11-30 05:00:02.240,433b6ba8-f47c-48c0-8b54-e4877787f365,1281.0887,315.08444,1512000000000,avnWu77KPA
0.0,2490437,com.sec.android.app.shealth,2018-09-04 04:00:01.045,2018-09-03 04:00:01.640,4369a5e7-4f25-4f5f-8b53-79e4567bccde,1327.9492,139.47214,1535932800000,dgrrqaEJmv
0.0,1426597,com.sec.android.app.shealth,2018-06-20 07:00:04.097,2018-06-19 07:00:01.897,43d6e622-9916-4fe1-8c9e-d9041f704b07,1344.7855,72.61998,1529366400000,avnWu77KPA
0.0,4753521,com.sec.android.app.shealth,2018-02-06 05:00:01.124,2018-02-05 05:00:01.920,44b27a97-c2e5-461b-88a3-fda91231a10a,1292.1338,261.85367,1517788800000,avnWu77KPA
0.0,11320531,com.sec.android.app.shealth,2017-12-04 05:00:02.347,2017-12-03 05:00:01.984,451d272f-02cd-4185-b589-bc353610f279,1191.9672,626.00446,1512259200000,avnWu77KPA
0.0,7788503,com.sec.android.app.shealth,2018-08-20 04:00:01.272,2018-08-19 04:00:01.114,45dd731a-58d4-4fe6-8372-0edad2705429,1244.1023,415.8835,1534636800000,dgrrqaEJmv
0.0,1802360,com.sec.android.app.shealth,2018-02-05 05:00:02.225,2018-02-04 05:00:01.562,47df2bc9-50df-4490-8fc9-ad7d38fe2347,1338.8387,95.65,1517702400000,avnWu77KPA
0.0,8336218,com.sec.android.app.shealth,2018-01-03 02:59:00.164,2017-12-27 17:00:02.100,48594a95-b1c5-44dd-93cc-10960cf76fdd,1235.4342,455.17496,1514419200000,avnWu77KPA
0.0,6627969,com.sec.android.app.shealth,2017-11-11 06:39:33.626,2017-11-10 05:00:02.631,48b6c9ab-9d04-47b2-ada0-da36e8b3175e,1266.4667,369.05652,1510272000000,avnWu77KPA
0.0,2514525,com.sec.android.app.shealth,2017-11-28 07:19:55.460,2017-11-27 06:00:00.580,49fd0e40-a524-4183-ba99-986361b23e07,1331.7719,140.81999,1511740800000,avnWu77KPA
0.0,4088772,com.sec.android.app.shealth,2018-05-23 04:01:37.256,2018-05-22 04:01:38.660,4af1ec91-2b1d-4342-bcba-eb1e36503e9a,1302.6542,218.78104,1526947200000,avnWu77KPA
0.0,4554438,com.sec.android.app.shealth,2018-01-03 02:58:56.233,2017-12-12 05:00:01.089,4bb62cad-b6e1-4315-b414-b9aee8d8036a,1295.2844,246.78133,1513036800000,avnWu77KPA
0.0,8504896,com.sec.android.app.shealth,2018-06-02 04:00:25.171,2018-06-01 04:00:03.401,4d745716-a753-40c7-a4b8-fed70a0c8d62,1232.7646,442.02844,1527811200000,avnWu77KPA
0.0,4385391,com.sec.android.app.shealth,2018-07-08 07:00:02.515,2018-07-07 07:00:07.159,4dd5b3af-0f67-41e5-b9d3-aad2d57732d1,1297.9597,221.17499,1530921600000,avnWu77KPA
0.0,4615705,com.sec.android.app.shealth,2017-10-27 05:16:21.814,2017-10-27 05:16:21.814,4e18363c-3e78-4f21-a18f-cec976dfd28e,1298.4135,253.45618,1508544000000,avnWu77KPA
0.0,2979614,com.sec.android.app.shealth,2018-07-10 22:19:06.568,2018-07-04 07:00:02.524,4e38bbbb-25ec-4652-93e3-017d74598a15,1320.2075,156.06004,1530662400000,avnWu77KPA
0.0,358578,com.sec.android.app.shealth,2018-09-12 06:48:16.313,2018-08-25 04:03:40.577,4e9aecaf-154c-475e-83dd-fbc1d9447671,1361.6881,16.969997,1535155200000,dgrrqaEJmv
0.0,8450068,com.sec.android.app.shealth,2017-12-06 05:00:01.741,2017-12-05 05:00:02.577,503a3fc5-826b-4482-964e-447dfe71130a,1237.539,474.8151,1512432000000,avnWu77KPA
0.0,4378694,com.sec.android.app.shealth,2017-10-27 05:16:20.700,2017-10-27 05:16:20.700,50fb8e60-4392-4b15-8a01-907d709a9b95,1302.1763,232.81714,1507420800000,avnWu77KPA
0.0,8563492,com.sec.android.app.shealth,2018-02-16 05:00:06.096,2018-02-15 05:00:03.314,51b91842-8aab-4400-8d93-d63982aa0201,1231.8374,468.62524,1518652800000,avnWu77KPA
0.0,3969912,com.sec.android.app.shealth,2018-04-02 18:30:02.878,2018-04-01 18:30:07.135,52f93ba5-732e-4e87-8700-8d3a898d43d5,1304.5352,192.82999,1522627200000,avnWu77KPA
0.0,7164624,com.sec.android.app.shealth,2017-10-27 05:16:22.216,2017-10-27 05:16:22.216,5370c33f-654c-42ae-b56e-53ca2aa71267,1257.9467,387.54498,1508889600000,avnWu77KPA
0.0,10695559,com.sec.android.app.shealth,2017-10-27 05:16:20.410,2017-10-27 05:16:20.410,5404e6d6-14f1-46d7-9c7b-d5b4c0f2468d,1201.8893,573.4055,1507161600000,avnWu77KPA
0.0,9129682,com.sec.android.app.shealth,2018-02-22 05:02:36.962,2018-02-21 05:00:46.715,54cc0ad2-38d7-46ef-a7e6-3061ad0f2ce1,1222.8768,484.11517,1519171200000,avnWu77KPA
0.0,5730700,com.sec.android.app.shealth,2017-11-14 05:01:18.713,2017-11-13 05:00:04.006,553b3f2d-608d-45eb-ac63-e143bd7428ca,1280.7117,320.568,1510531200000,avnWu77KPA
0.0,6542569,com.sec.android.app.shealth,2018-03-20 04:00:08.630,2018-03-19 04:00:14.147,55ac3f2b-d776-4d44-a953-c5320dfc2b6f,1263.8203,383.224,1521417600000,avnWu77KPA
0.0,2816521,com.sec.android.app.shealth,2018-01-03 02:59:00.001,2017-12-25 17:43:59.373,5737280c-ac8b-4466-8019-75db65f4dd6c,1322.7887,139.4195,1514246400000,avnWu77KPA
0.0,2159339,com.sec.android.app.shealth,2018-01-03 16:00:01.715,2018-01-02 16:01:34.267,583a0c9a-67d3-4a29-9767-4dd49c5b602d,1333.1892,111.38998,1514937600000,avnWu77KPA
0.0,8012534,com.sec.android.app.shealth,2018-04-28 04:00:09.733,2018-04-27 04:00:02.475,58fe088b-2369-4d4f-9bab-d762a05b88b6,1240.5568,437.8648,1524787200000,avnWu77KPA
0.0,5532488,com.sec.android.app.shealth,2018-03-28 15:03:42.788,2018-03-23 04:02:27.424,59f21c28-46f3-44d7-8c55-0ed6c743f6a9,1279.8058,303.008,1521763200000,avnWu77KPA
0.0,3999057,com.sec.android.app.shealth,2018-03-30 18:30:13.136,2018-03-29 18:31:05.430,5aae7bba-b110-4f4e-85d6-108bac4e37f3,1304.0739,206.38005,1522368000000,avnWu77KPA
0.0,594147,com.sec.android.app.shealth,2018-07-30 04:22:12.471,2018-07-29 04:00:00.677,5affeed7-f9fa-49dd-9498-7701c3b7dbf1,1357.96,30.41,1532822400000,dgrrqaEJmv
0.0,3074598,com.sec.android.app.shealth,2018-05-01 04:00:20.519,2018-04-30 04:02:32.539,5b77d84a-faf3-44e9-a5ee-3bc495091c44,1318.7043,177.96747,1525046400000,avnWu77KPA
