com.samsung.health.heart_rate,6000085,7
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2018-09-04 14:27:53.613,UTC-0300,74.0,0,,2018-09-04 14:27:42.316,74.0,dgrrqaEJmv,2018-09-04 14:27:42.316,com.sec.android.app.shealth,2018-09-04 14:27:53.613,74.0,,1f9675bc-d100-4662-96d1-6d59a4159d3e,
2018-05-31 02:33:36.917,UTC-0300,82.0,0,,2018-05-31 02:33:23.448,82.0,avnWu77KPA,2018-05-31 02:33:23.448,com.sec.android.app.shealth,2018-05-31 02:33:36.917,82.0,,1fc579c5-3f31-4c3d-987a-4762a3acb8e2,
2018-07-24 19:45:12.730,UTC-0300,82.0,0,,2018-07-24 19:45:04.738,82.0,dgrrqaEJmv,2018-07-24 19:45:04.738,com.sec.android.app.shealth,2018-07-24 19:45:12.730,82.0,,20cd5b92-a957-466f-9fc7-99fe7973bf4d,
2018-05-25 16:43:15.006,UTC-0300,71.0,0,,2018-05-25 16:43:01.727,71.0,avnWu77KPA,2018-05-25 16:43:01.727,com.sec.android.app.shealth,2018-05-25 16:43:15.006,71.0,,2136aaf1-1ed9-4849-8cc6-cd93b7bbc5fe,
2018-05-25 23:10:57.316,UTC-0300,69.0,0,,2018-05-25 23:10:53.044,69.0,avnWu77KPA,2018-05-25 23:10:53.044,com.sec.android.app.shealth,2018-05-25 23:10:57.316,69.0,,21979c80-d0a0-417d-b075-a42a270afd2a,
2018-06-04 17:12:37.733,UTC-0300,80.0,0,,2018-06-04 17:12:27.272,80.0,avnWu77KPA,2018-06-04 17:12:27.272,com.sec.android.app.shealth,2018-06-04 17:12:37.733,80.0,,21a5dc71-8092-4787-a1ff-96c7fdffebcf,
2018-08-21 17:31:31.848,UTC-0300,100.0,0,,2018-08-21 17:31:20.526,100.0,dgrrqaEJmv,2018-08-21 17:31:20.526,com.sec.android.app.shealth,2018-08-21 17:31:31.848,100.0,,235ceb35-e9de-4350-a68a-07fe0996559f,
2018-09-12 02:24:48.383,UTC-0300,80.0,0,,2018-09-12 02:24:42.528,80.0,dgrrqaEJmv,2018-09-12 02:24:42.528,com.sec.android.app.shealth,2018-09-12 02:24:48.383,80.0,,23f939b3-cab7-4caa-b103-8b5a3690d9a7,
2018-06-12 01:20:12.647,UTC-0300,67.0,0,,2018-06-12 01:20:01.809,67.0,avnWu77KPA,2018-06-12 01:20:01.809,com.sec.android.app.shealth,2018-06-12 01:20:12.647,67.0,,245b894c-031b-4f54-9242-7cd4cd54e184,
2018-05-30 16:08:20.606,UTC-0300,66.0,0,,2018-05-30 16:08:01.073,66.0,avnWu77KPA,2018-05-30 16:08:01.073,com.sec.android.app.shealth,2018-05-30 16:08:20.606,66.0,,24b088ee-8fc2-401e-ab3a-b531fe28184e,
2017-04-13 18:47:34.732,UTC-0300,,0,,2017-04-13 18:47:00.452,71.0,avnWu77KPA,2017-04-13 18:46:54.425,com.sec.android.app.shealth,2017-04-13 18:47:34.732,,,25e7243d-ebfe-469c-9978-b6d530344464,
2018-08-29 22:31:26.928,UTC-0300,101.0,0,,2018-08-29 22:31:16.985,101.0,dgrrqaEJmv,2018-08-29 22:31:16.985,com.sec.android.app.shealth,2018-08-29 22:31:26.928,101.0,,25fd37c9-41a8-4769-9fbd-139a3d9515f4,
2018-05-21 19:56:13.465,UTC-0300,79.0,0,,2018-05-21 19:55:59.483,79.0,avnWu77KPA,2018-05-21 19:55:59.483,com.sec.android.app.shealth,2018-05-21 19:56:13.465,79.0,,264b2dc2-95cb-4c82-9ccb-7debc67dd4cc,
2018-08-11 03:23:04.074,UTC-0400,78.0,0,,2018-08-11 03:22:55.174,78.0,dgrrqaEJmv,2018-08-11 03:22:55.174,com.sec.android.app.shealth,2018-08-11 03:23:04.074,78.0,,26f80260-de3a-4384-b130-c19702838433,
2018-06-03 01:32:15.715,UTC-0300,72.0,0,,2018-06-03 01:32:12.987,72.0,avnWu77KPA,2018-06-03 01:32:12.987,com.sec.android.app.shealth,2018-06-03 01:32:15.715,72.0,,28549550-246c-45b5-a3b6-1cb0c2390fdc,
2018-08-08 19:02:54.438,UTC-0400,74.0,0,,2018-08-08 19:02:44.710,74.0,dgrrqaEJmv,2018-08-08 19:02:44.710,com.sec.android.app.shealth,2018-08-08 19:02:54.438,74.0,,28af4e39-4558-4f2f-b457-e55f8b93bb83,
2018-09-13 14:45:21.815,UTC-0300,63.0,0,,2018-09-13 14:45:13.629,63.0,dgrrqaEJmv,2018-09-13 14:45:13.629,com.sec.android.app.shealth,2018-09-13 14:45:21.815,63.0,,2a38b1f9-6f94-4d12-bcea-6a5a4b2d96d3,
2018-09-11 20:00:43.088,UTC-0300,67.0,0,,2018-09-11 20:00:37.132,67.0,dgrrqaEJmv,2018-09-11 20:00:37.132,com.sec.android.app.shealth,2018-09-11 20:00:43.088,67.0,,2a3d379e-0c23-4a2b-86bd-9bdce67861a3,
2018-09-11 05:29:30.380,UTC-0300,70.0,0,,2018-09-11 05:29:22.879,70.0,dgrrqaEJmv,2018-09-11 05:29:22.879,com.sec.android.app.shealth,2018-09-11 05:29:30.380,70.0,,2a5937c4-506f-49c4-bd12-3c2387e2bac9,
2018-09-05 02:21:25.242,UTC-0300,79.0,0,,2018-09-05 02:21:17.425,79.0,dgrrqaEJmv,2018-09-05 02:21:17.425,com.sec.android.app.shealth,2018-09-05 02:21:25.242,79.0,,2be2adaf-39dc-40ba-8235-6b09cd0a8958,
2018-08-02 16:52:17.429,UTC-0300,79.0,0,,2018-08-02 16:52:09.978,79.0,dgrrqaEJmv,2018-08-02 16:52:09.978,com.sec.android.app.shealth,2018-08-02 16:52:17.429,79.0,,2c023196-0d7e-4676-b8af-27e45fbeabff,
2018-08-06 15:59:15.411,UTC-0300,103.0,0,,2018-08-06 15:59:08.995,103.0,dgrrqaEJmv,2018-08-06 15:59:08.995,com.sec.android.app.shealth,2018-08-06 15:59:15.411,103.0,,2c455182-2cbf-489e-af1c-3d1949e8efe7,
2018-06-12 19:40:58.976,UTC-0300,69.0,0,,2018-06-12 19:40:48.176,69.0,avnWu77KPA,2018-06-12 19:40:48.176,com.sec.android.app.shealth,2018-06-12 19:40:58.976,69.0,,2c4f618e-92ad-4d26-96f2-e673c9438f63,
