max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,57d61846-6639-47f9-a53d-6388a33ec10e.live_data.json,,1028.15,,,,avnWu77KPA,725638,2017-05-22 13:56:37.900,57d61846-6639-47f9-a53d-6388a33ec10e,,,,,,,,2017-05-22 13:56:37.900,UTC-0300,1.416891,,,,,,2017-05-22 13:55:14.000,2.5277777,1001,2017-05-22 13:43:09.000,,com.sec.android.app.shealth,,,44.11,,,,
,57d7b990-5a0f-436d-aa9b-bd3c34404126.live_data.json,,892.23,,,,avnWu77KPA,680764,2018-05-09 18:55:15.189,57d7b990-5a0f-436d-aa9b-bd3c34404126,,,,,,,,2018-05-09 18:55:15.189,UTC-0300,1.3106304,,,,,,2018-05-09 18:40:57.000,1.3888888,1001,2018-05-09 18:29:37.000,,com.sec.android.app.shealth,,,39.11,,,,
,582fa328-19b1-4b82-a82b-0a9bbaf775a1.live_data.json,,1301.83,,,,avnWu77KPA,1075244,2017-11-07 02:32:46.851,582fa328-19b1-4b82-a82b-0a9bbaf775a1,,,,,,,,2017-11-07 02:32:46.851,UTC-0400,1.2107298,,,,,,2017-11-07 02:22:14.000,1.8888888,1001,2017-11-07 02:04:19.000,,com.sec.android.app.shealth,,,57.63,,,,
,588266bf-0ed0-4cfc-ab8e-5b488be574b9.live_data.json,,1072.67,,,,avnWu77KPA,970277,2018-03-05 20:23:48.081,588266bf-0ed0-4cfc-ab8e-5b488be574b9,,,,,,,,2018-03-05 20:23:48.081,UTC-0400,1.1055297,,,,,,2018-03-05 20:20:29.000,1.3055556,1001,2018-03-05 20:04:19.000,,com.sec.android.app.shealth,,,50.39,,,,
,58c10b32-0657-4cd6-9586-7dcaa283a246.live_data.json,,2535.34,,,,avnWu77KPA,1990127,2017-10-30 17:18:20.115,58c10b32-0657-4cd6-9586-7dcaa283a246,,,,,,,,2017-10-30 17:18:20.115,UTC-0300,1.273959,,,,,,2017-10-30 17:17:15.000,1.8055556,1001,2017-10-30 16:44:05.000,,com.sec.android.app.shealth,,,110.22,,,,
,5931bad3-e0e1-4b08-b782-96d6e9a20bc8.live_data.json,,878.3,,,,avnWu77KPA,695834,2017-04-16 23:34:58.120,5931bad3-e0e1-4b08-b782-96d6e9a20bc8,,,,,,,,2017-04-16 23:34:58.120,UTC-0300,1.2622265,,,,,,2017-04-16 22:40:52.000,1.6018333,1001,2017-04-16 22:29:17.000,,com.sec.android.app.shealth,,,37.81,,,,
,5960611c-6056-4da5-8d29-00d52dc3044a.live_data.json,,1271.24,,,,dgrrqaEJmv,1063601,2018-08-04 22:36:59.100,5960611c-6056-4da5-8d29-00d52dc3044a,,,,,,,,2018-08-04 22:36:59.100,UTC-0300,1.1952227,,,,,,2018-08-04 22:35:43.000,1.4166666,1001,2018-08-04 22:18:00.000,,com.sec.android.app.shealth,,,54.64,,,,
,596a8d5f-5ad3-478d-94c3-823b4c278c21.live_data.json,,1197.74,,,,avnWu77KPA,911647,2018-05-02 00:02:53.710,596a8d5f-5ad3-478d-94c3-823b4c278c21,,,,,,,,2018-05-02 00:02:53.710,UTC-0300,1.3138199,,,,,,2018-05-02 00:01:18.000,1.5555556,1001,2018-05-01 23:46:07.000,,com.sec.android.app.shealth,,,51.94,,,,
,597f14d6-6168-4ac6-a0c4-53bf581b21e6.live_data.json,,1362.79,,,,avnWu77KPA,1089461,2017-12-28 01:33:30.659,597f14d6-6168-4ac6-a0c4-53bf581b21e6,,,,,,,,2017-12-28 01:33:30.659,UTC+0800,1.2508847,,,,,,2017-12-28 01:32:09.000,1.5833334,1001,2017-12-28 01:14:00.000,,com.sec.android.app.shealth,,,58.79,,,,
,598b6ead-ad62-4e04-ad4d-00dad6e36f38.live_data.json,,1016.74,,,,avnWu77KPA,744752,2017-05-12 02:59:30.309,598b6ead-ad62-4e04-ad4d-00dad6e36f38,,,,,,,,2017-05-12 02:59:30.309,UTC-0300,1.3652061,,,,,,2017-05-12 02:52:03.000,3.0,1001,2017-05-12 02:39:39.000,,com.sec.android.app.shealth,,,44.19,,,,
,5999ce6f-5da6-44a4-afd5-eb0198c544d3.live_data.json,,998.4,,,,avnWu77KPA,763847,2017-05-07 16:01:10.325,5999ce6f-5da6-44a4-afd5-eb0198c544d3,,,,,,,,2017-05-07 15:52:49.083,UTC-0300,1.307068,,,,,,2017-05-07 15:49:03.000,1.505,1001,2017-05-07 15:36:20.000,,com.sec.android.app.shealth,,,45.5,,,,
,59b3ebfb-3989-4716-8e5d-4defefead518.live_data.json,,1023.29,,,,avnWu77KPA,824221,2017-04-20 13:25:25.059,59b3ebfb-3989-4716-8e5d-4defefead518,,,,,,,,2017-04-20 13:24:50.439,UTC-0300,1.2415239,,,,,,2017-04-20 13:23:10.000,1.5833334,1001,2017-04-20 13:09:25.000,,com.sec.android.app.shealth,,,45.26,,,,
,59d7ffaa-bd96-437c-8628-05b63537e2b0.live_data.json,,812.95,,,,avnWu77KPA,666387,2017-05-24 14:05:12.473,59d7ffaa-bd96-437c-8628-05b63537e2b0,,,,,,,,2017-05-24 14:05:12.473,UTC-0300,1.2199368,,,,,,2017-05-24 14:00:06.000,1.4168334,1001,2017-05-24 13:49:00.000,,com.sec.android.app.shealth,,,34.43,,,,
,59dae87e-7679-4026-bb0c-3659f2ba2509.live_data.json,,1196.41,,,,avnWu77KPA,866597,2017-05-27 19:06:15.896,59dae87e-7679-4026-bb0c-3659f2ba2509,,,,,,,,2017-05-27 19:04:37.428,UTC-0300,1.380584,,,,,,2017-05-27 19:03:38.000,1.5,1001,2017-05-27 18:49:12.000,,com.sec.android.app.shealth,,,51.3,,,,
