com.samsung.health.step_count,5802009,5
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2018-07-23 17:23:14.633,82.21,UTC-0300,,124,2018-07-23 17:16:00.000,1.3701667,dgrrqaEJmv,2018-07-23 17:15:00.000,com.sec.android.app.shealth,2018-07-23 17:23:14.633,05973801-62d4-4252-a083-b252f930db02,4.2,
2018-07-23 17:50:03.290,33.5,UTC-0300,,48,2018-07-23 17:49:00.000,1.25,dgrrqaEJmv,2018-07-23 17:48:00.000,com.sec.android.app.shealth,2018-07-23 17:50:03.290,05cd10de-1efc-42e9-b338-0241533847c1,1.44,
2018-07-16 21:31:41.667,83.81,UTC-0300,,117,2018-07-16 21:30:00.000,1.3968332,avnWu77KPA,2018-07-16 21:29:00.000,com.sec.android.app.shealth,2018-07-16 21:31:41.667,05cd378c-2f56-4e4e-892a-debbf350e60b,3.77,
2018-07-13 23:51:00.178,51.280014,UTC-0300,,75,2018-07-13 23:52:00.000,1.1325507,avnWu77KPA,2018-07-13 23:51:00.000,com.sec.android.app.shealth,2018-07-13 23:51:59.951,05d8f50c-a45e-4c0f-96c0-9a72462b3ae2,2.2499986,
2018-08-03 22:24:03.860,70.4,UTC-0300,,97,2018-08-03 22:25:00.000,1.4706303,dgrrqaEJmv,2018-08-03 22:24:00.000,com.sec.android.app.shealth,2018-08-03 22:28:13.699,05e10e16-2588-4940-82ba-c70adbf1d3d6,2.9199996,
2018-07-11 02:14:59.395,78.72,UTC-0300,,111,2018-07-11 02:12:00.000,1.3333334,avnWu77KPA,2018-07-11 02:11:00.000,com.sec.android.app.shealth,2018-07-11 02:14:59.395,05e8fd17-01d7-4d7c-aa3a-c50c72261867,3.33,
2018-08-05 04:15:26.612,77.09,UTC-0300,,110,2018-08-05 04:09:00.000,1.2848332,dgrrqaEJmv,2018-08-05 04:08:00.000,com.sec.android.app.shealth,2018-08-05 04:15:26.612,061e22a3-d636-4067-8f0b-5705ce81cbcf,3.3,
2018-07-19 18:52:00.447,71.080025,UTC-0300,,102,2018-07-19 18:53:00.000,1.2367343,dgrrqaEJmv,2018-07-19 18:52:00.000,com.sec.android.app.shealth,2018-07-19 18:53:14.157,06317783-e1d1-40c3-bf13-62253eaad57c,3.0599985,
2018-08-01 22:59:15.513,41.489998,UTC-0300,,59,2018-08-01 23:00:00.000,1.2802935,dgrrqaEJmv,2018-08-01 22:59:00.000,com.sec.android.app.shealth,2018-08-01 22:59:59.594,064ad0bd-c18b-494b-9279-5e0195a667db,1.7699993,
2018-08-02 01:15:33.788,70.33,UTC-0300,,102,2018-08-02 01:08:00.000,1.1721666,dgrrqaEJmv,2018-08-02 01:07:00.000,com.sec.android.app.shealth,2018-08-02 01:15:33.788,065a8c8a-0edf-49f5-87a4-6d8bd8039380,3.06,
2018-07-07 20:24:13.417,59.909996,UTC-0600,,84,2018-07-07 20:25:00.000,1.2139521,avnWu77KPA,2018-07-07 20:24:00.000,com.sec.android.app.shealth,2018-07-07 20:28:32.086,06604588-962c-4ebb-aaab-c1568439ab22,2.69,
2018-08-01 18:14:58.751,52.92,UTC-0300,,77,2018-08-01 18:13:00.000,1.2777778,dgrrqaEJmv,2018-08-01 18:12:00.000,com.sec.android.app.shealth,2018-08-01 18:14:58.751,0675f9a1-1059-4559-835a-17a5ca7c526f,2.46,
2018-07-19 13:35:13.572,52.31,UTC-0300,,103,2018-07-19 13:24:00.000,1.3055556,dgrrqaEJmv,2018-07-19 13:23:00.000,com.sec.android.app.shealth,2018-07-19 13:35:13.572,068844cf-1eb8-4e89-8c35-424163a33d1d,3.06,
2018-07-18 22:54:58.678,87.08,UTC-0300,,123,2018-07-18 22:48:00.000,1.4513334,dgrrqaEJmv,2018-07-18 22:47:00.000,com.sec.android.app.shealth,2018-07-18 22:54:58.678,069a89e4-4da0-463a-aca3-6409de01d18b,3.69,
