com.samsung.shealth.activity.day_summary,6000085,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,39120000,2017-11-11 06:39:32.557,5440.1953,0,7812,4672992,1510358400000,avnWu77KPA,4672992,0,com.sec.android.app.shealth,2017-11-12 02:34:02.766,1142655,1aa5fc92-43e5-44d8-ae31-10a48e76a5ad,1aa5fc92-43e5-44d8-ae31-10a48e76a5ad.extra_data.json,244.0125
0,-1,50520000,2018-04-29 04:00:38.002,1597.9166,2000,2274,1368170,1524960000000,avnWu77KPA,1370170,0,com.sec.android.app.shealth,2018-04-30 04:02:32.890,758000,1b06e6d7-3514-4368-be23-4d18f4058664,1b06e6d7-3514-4368-be23-4d18f4058664.extra_data.json,70.88801
0,-1,-1,2016-01-01 00:01:21.744,0.0,0,0,0,1451174400000,avnWu77KPA,0,0,com.sec.android.app.shealth,2016-01-01 00:01:21.744,0,1b2f77f6-baea-4335-be20-165cf7717728,1b2f77f6-baea-4335-be20-165cf7717728.extra_data.json,0.0
0,-1,36720000,2017-09-03 04:00:03.970,9324.452,32222,13151,7921551,1504396800000,avnWu77KPA,7953773,0,com.sec.android.app.shealth,2017-09-04 00:56:36.557,2295831,1b3c770b-f405-47cd-91c6-f33637f886e0,1b3c770b-f405-47cd-91c6-f33637f886e0.extra_data.json,401.18637
0,-1,37800000,2017-09-29 04:00:03.787,5758.388,15087,8270,4586103,1506643200000,avnWu77KPA,4601190,0,com.sec.android.app.shealth,2017-09-30 03:32:59.042,711564,1b7fb0b3-acde-4e27-baae-bda10c4a6549,1b7fb0b3-acde-4e27-baae-bda10c4a6549.extra_data.json,254.59415
0,-1,50040000,2018-02-03 05:00:03.195,29.23,800,38,24012,1517616000000,avnWu77KPA,24812,0,com.sec.android.app.shealth,2018-02-04 01:35:14.043,13473,1bc13473-cd74-4326-b23b-abd08193029f,1bc13473-cd74-4326-b23b-abd08193029f.extra_data.json,1.3199999
0,-1,-1,2016-01-01 00:01:20.105,0.0,0,0,0,1450396800000,avnWu77KPA,0,0,com.sec.android.app.shealth,2016-01-01 00:01:20.105,0,1bc4837b-6455-4f79-8c97-b4bd4e7269a2,1bc4837b-6455-4f79-8c97-b4bd4e7269a2.extra_data.json,0.0
0,-1,35400000,2018-05-15 05:00:01.102,4440.8267,8249,6194,3716609,1526342400000,avnWu77KPA,3724858,0,com.sec.android.app.shealth,2018-05-16 04:14:11.871,745607,1bc83188-4687-4275-81bd-3dcbddf79926,1bc83188-4687-4275-81bd-3dcbddf79926.extra_data.json,191.98915
0,-1,35220000,2017-10-16 04:01:35.329,5503.297,4400,7810,4363981,1508112000000,avnWu77KPA,4368381,0,com.sec.android.app.shealth,2017-10-27 05:16:18.116,917420,1d3c78a8-ca15-43c0-99e1-73ff651f9603,1d3c78a8-ca15-43c0-99e1-73ff651f9603.extra_data.json,246.64633
0,-1,26640000,2017-10-20 04:00:03.147,15044.552,29868,21221,12525818,1508457600000,avnWu77KPA,12555686,0,com.sec.android.app.shealth,2017-10-27 05:16:18.845,1455425,1d70e2e9-09f7-4007-a87e-ad2b9f57c8c5,1d70e2e9-09f7-4007-a87e-ad2b9f57c8c5.extra_data.json,659.4375
