com.samsung.shealth.stress,6000085,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2018-08-29 06:28:03.304,UTC-0300,,1703d069-db7c-4d84-a6b4-46816376ae7b.custom.json,,dgrrqaEJmv,2018-08-29 06:28:00.733,56.0,com.sec.android.app.shealth,2018-08-29 06:28:03.304,,,1703d069-db7c-4d84-a6b4-46816376ae7b,10010,,
2018-09-21 16:37:58.232,UTC-0300,20.0,172e63e3-dcc7-4529-8cac-b73923f8ef77.custom.json,2018-09-21 16:37:54.588,dgrrqaEJmv,2018-09-21 16:37:54.588,20.0,com.sec.android.app.shealth,2018-09-21 16:37:58.232,20.0,,172e63e3-dcc7-4529-8cac-b73923f8ef77,10002,,1
2018-06-13 15:37:02.828,UTC-0300,,1762490f-d5f6-42a9-b5de-18ff3141f095.custom.json,,avnWu77KPA,2018-06-13 15:36:59.200,23.0,com.sec.android.app.shealth,2018-06-13 15:37:02.828,,,1762490f-d5f6-42a9-b5de-18ff3141f095,10002,,
2018-06-02 23:11:07.060,UTC-0300,,17d42374-d154-4ddb-81b1-c6f00d98904b.custom.json,,avnWu77KPA,2018-06-02 23:11:04.242,50.0,com.sec.android.app.shealth,2018-06-02 23:11:07.060,,,17d42374-d154-4ddb-81b1-c6f00d98904b,10002,,
2018-07-26 04:10:50.877,UTC-0300,,18471d5b-3173-435c-943b-e35c01edb1ee.custom.json,,dgrrqaEJmv,2018-07-26 04:10:48.105,43.0,com.sec.android.app.shealth,2018-07-26 04:10:50.877,,,18471d5b-3173-435c-943b-e35c01edb1ee,10002,,
2018-05-19 20:38:08.471,UTC-0300,,1888b99e-2929-4eea-9aad-67643cb408ca.custom.json,,avnWu77KPA,2018-05-19 20:38:03.323,6.0,com.sec.android.app.shealth,2018-05-19 20:38:08.471,,,1888b99e-2929-4eea-9aad-67643cb408ca,10001,,
2018-09-08 03:37:52.967,UTC-0300,,1b31686d-9fb7-437a-bf15-ff659f65fcd0.custom.json,,dgrrqaEJmv,2018-09-08 03:37:50.483,37.0,com.sec.android.app.shealth,2018-09-08 03:37:52.967,,,1b31686d-9fb7-437a-bf15-ff659f65fcd0,10002,,
2018-08-27 22:17:45.625,UTC-0300,,1d13a6cc-c813-4a77-8770-7d96bf64d7d7.custom.json,,dgrrqaEJmv,2018-08-27 22:17:43.431,100.0,com.sec.android.app.shealth,2018-08-28 03:03:12.235,,,1d13a6cc-c813-4a77-8770-7d96bf64d7d7,10010,,
2017-04-11 15:16:23.643,UTC-0300,,1d2a6c68-a1f9-45d3-a668-f44b0d29441b.custom.json,,avnWu77KPA,2017-04-11 15:16:15.547,31.457472,com.sec.android.app.shealth,2017-04-11 15:16:23.643,,,1d2a6c68-a1f9-45d3-a668-f44b0d29441b,10009,,
2018-09-18 17:43:56.882,UTC-0300,7.0,1d48113a-f2e3-4f54-9e76-da1607a2bcbb.custom.json,2018-09-18 17:43:53.257,dgrrqaEJmv,2018-09-18 17:43:53.257,7.0,com.sec.android.app.shealth,2018-09-18 17:43:56.882,7.0,,1d48113a-f2e3-4f54-9e76-da1607a2bcbb,10002,,1
2018-08-10 01:00:05.333,UTC-0400,,1e36dcb2-1f4b-45b2-8727-e6854da60c39.custom.json,,dgrrqaEJmv,2018-08-10 01:00:03.066,43.0,com.sec.android.app.shealth,2018-08-10 01:00:05.333,,,1e36dcb2-1f4b-45b2-8727-e6854da60c39,10002,,
2018-07-29 18:09:17.617,UTC-0300,,1e4f0a7e-63fe-46c5-8f3b-8a86d3831df6.custom.json,,dgrrqaEJmv,2018-07-29 18:09:15.599,25.0,com.sec.android.app.shealth,2018-07-29 18:09:17.617,,,1e4f0a7e-63fe-46c5-8f3b-8a86d3831df6,10002,,
2018-08-30 18:01:25.983,UTC-0300,,1e81232d-f769-4488-89eb-048d43302ae6.custom.json,,dgrrqaEJmv,2018-08-30 18:01:22.967,31.0,com.sec.android.app.shealth,2018-08-30 18:01:25.983,,,1e81232d-f769-4488-89eb-048d43302ae6,10010,,
2018-09-07 22:50:00.170,UTC-0300,,1e97cd15-fbe8-441d-a9dc-53547baceb41.custom.json,,dgrrqaEJmv,2018-09-07 22:49:57.961,31.0,com.sec.android.app.shealth,2018-09-07 22:50:00.170,,,1e97cd15-fbe8-441d-a9dc-53547baceb41,10002,,
2018-09-10 20:16:13.059,UTC-0300,,1ed4a749-c8d8-4176-aab1-1db86f001938.custom.json,,dgrrqaEJmv,2018-09-10 20:16:03.708,37.0,com.sec.android.app.shealth,2018-09-10 20:16:13.059,,,1ed4a749-c8d8-4176-aab1-1db86f001938,10002,,
2018-06-04 17:14:51.071,UTC-0300,,1eefcbe2-75dc-4db7-867f-4a6f6ac45494.custom.json,,avnWu77KPA,2018-06-04 17:14:48.457,37.0,com.sec.android.app.shealth,2018-06-04 17:14:51.071,,,1eefcbe2-75dc-4db7-867f-4a6f6ac45494,10002,,
2018-06-21 21:37:29.772,UTC-0600,,1f7a55ce-7eb3-496b-b49b-8245cc9474a8.custom.json,,avnWu77KPA,2018-06-21 21:37:27.786,43.0,com.sec.android.app.shealth,2018-06-21 21:37:29.772,,,1f7a55ce-7eb3-496b-b49b-8245cc9474a8,10002,,
2018-06-26 01:34:23.171,UTC-0600,,1f87d1a9-f7d7-42fd-add2-3523c73e6ac3.custom.json,,avnWu77KPA,2018-06-26 01:34:20.708,62.0,com.sec.android.app.shealth,2018-06-26 01:34:23.171,,,1f87d1a9-f7d7-42fd-add2-3523c73e6ac3,10002,,
2018-08-01 14:34:38.237,UTC-0300,,2040260d-facf-44ec-b5e4-a74f0fee36b4.custom.json,,dgrrqaEJmv,2018-08-01 14:34:36.050,50.0,com.sec.android.app.shealth,2018-08-01 14:34:38.237,,,2040260d-facf-44ec-b5e4-a74f0fee36b4,10002,,
2018-09-13 03:25:38.520,UTC-0300,8.0,2040bd0e-bf3f-4adb-8300-853f543bc4bf.custom.json,2018-09-13 03:25:35.667,dgrrqaEJmv,2018-09-13 03:25:35.667,8.0,com.sec.android.app.shealth,2018-09-13 03:25:38.520,8.0,,2040bd0e-bf3f-4adb-8300-853f543bc4bf,10002,,1
2018-05-21 02:43:39.638,UTC-0300,,207e7fd7-6bf6-494a-a227-a47365dc8232.custom.json,,avnWu77KPA,2018-05-21 02:43:37.041,43.0,com.sec.android.app.shealth,2018-05-21 02:43:39.638,,,207e7fd7-6bf6-494a-a227-a47365dc8232,10002,,
2018-08-22 16:45:12.308,UTC-0300,,21fa5e64-112d-4534-8273-0ea5b9f2b3bf.custom.json,,dgrrqaEJmv,2018-08-22 16:45:09.594,56.0,com.sec.android.app.shealth,2018-08-22 16:45:12.308,,,21fa5e64-112d-4534-8273-0ea5b9f2b3bf,10002,,
2018-08-28 01:27:49.248,UTC-0300,,23f7acd3-3715-40d1-99df-5f24a6b67b14.custom.json,,dgrrqaEJmv,2018-08-28 01:27:45.686,62.0,com.sec.android.app.shealth,2018-08-28 03:02:50.744,,,23f7acd3-3715-40d1-99df-5f24a6b67b14,10010,,
2018-09-11 17:28:13.102,UTC-0300,,2519e77b-9445-4033-b2ec-1c6339c5b36e.custom.json,,dgrrqaEJmv,2018-09-11 17:28:10.849,41.0,com.sec.android.app.shealth,2018-09-11 17:28:13.102,,,2519e77b-9445-4033-b2ec-1c6339c5b36e,10002,,
2018-08-27 23:29:42.375,UTC-0300,,2571889c-b633-4ab6-845e-40c7e963fe2e.custom.json,,dgrrqaEJmv,2018-08-27 23:29:40.061,100.0,com.sec.android.app.shealth,2018-08-28 03:02:57.933,,,2571889c-b633-4ab6-845e-40c7e963fe2e,10010,,
2018-07-03 19:39:52.215,UTC-0600,,25d588eb-6964-4345-b7dc-ad79ab432fb7.custom.json,,avnWu77KPA,2018-07-03 19:39:49.872,37.0,com.sec.android.app.shealth,2018-07-03 19:39:52.215,,,25d588eb-6964-4345-b7dc-ad79ab432fb7,10002,,
2018-05-21 16:04:16.619,UTC-0300,,25f9d91d-d701-4200-9b1d-dea8ff31f3f6.custom.json,,avnWu77KPA,2018-05-21 16:04:06.856,75.0,com.sec.android.app.shealth,2018-05-21 16:04:16.619,,,25f9d91d-d701-4200-9b1d-dea8ff31f3f6,10002,,
2018-08-08 17:58:59.796,UTC-0400,,2614097e-3d78-46c6-99b8-307d51e30d94.custom.json,,dgrrqaEJmv,2018-08-08 17:58:56.523,37.0,com.sec.android.app.shealth,2018-08-08 17:58:59.796,,,2614097e-3d78-46c6-99b8-307d51e30d94,10002,,
2018-08-02 20:58:47.858,UTC-0300,,26482b85-b5ce-43f1-99d2-43ddda2a5c4b.custom.json,,dgrrqaEJmv,2018-08-02 20:58:44.571,50.0,com.sec.android.app.shealth,2018-08-02 20:58:47.858,,,26482b85-b5ce-43f1-99d2-43ddda2a5c4b,10002,,
2018-08-03 03:33:39.940,UTC-0300,,264fba16-7b76-42ec-8146-383f3025f392.custom.json,,dgrrqaEJmv,2018-08-03 03:33:37.389,37.0,com.sec.android.app.shealth,2018-08-03 03:33:39.940,,,264fba16-7b76-42ec-8146-383f3025f392,10002,,
2018-09-22 01:50:18.176,UTC-0300,3.0,2666eab1-62ef-4772-bc16-8b540957df8c.custom.json,2018-09-22 01:50:11.204,dgrrqaEJmv,2018-09-22 01:50:11.204,3.0,com.sec.android.app.shealth,2018-09-22 01:50:18.176,3.0,,2666eab1-62ef-4772-bc16-8b540957df8c,10002,,1
2018-06-04 02:53:40.679,UTC-0300,,26fa0b9a-1cc2-4a41-acdd-a7ccff5bb842.custom.json,,avnWu77KPA,2018-06-04 02:53:37.605,44.0,com.sec.android.app.shealth,2018-06-04 02:53:40.679,,,26fa0b9a-1cc2-4a41-acdd-a7ccff5bb842,10002,,
2018-09-19 23:11:26.070,UTC-0300,62.0,28585251-27da-4266-a492-bbd458a3e1ce.custom.json,2018-09-19 23:11:23.227,dgrrqaEJmv,2018-09-19 23:11:23.227,62.0,com.sec.android.app.shealth,2018-09-19 23:11:26.070,62.0,,28585251-27da-4266-a492-bbd458a3e1ce,10002,,1
2018-08-20 02:56:33.637,UTC-0300,,2b6b335c-d51e-4eec-bf20-6b625b59b75a.custom.json,,dgrrqaEJmv,2018-08-20 02:56:31.909,31.0,com.sec.android.app.shealth,2018-08-20 02:56:33.637,,,2b6b335c-d51e-4eec-bf20-6b625b59b75a,10002,,
2018-09-05 21:38:46.030,UTC-0300,,2ba95c9f-c2a4-4afd-80a7-6fa6c036b2c0.custom.json,,dgrrqaEJmv,2018-09-05 21:38:43.999,93.0,com.sec.android.app.shealth,2018-09-05 21:38:46.030,,,2ba95c9f-c2a4-4afd-80a7-6fa6c036b2c0,10002,,
2018-09-09 16:33:08.636,UTC-0300,,2c9a52ce-3813-4766-b050-6a4febf46431.custom.json,,dgrrqaEJmv,2018-09-09 16:33:02.894,25.0,com.sec.android.app.shealth,2018-09-09 16:33:08.636,,,2c9a52ce-3813-4766-b050-6a4febf46431,10002,,
2018-08-09 15:09:08.056,UTC-0400,,2cb2ea71-410b-4f75-9dfc-eb420bcdb787.custom.json,,dgrrqaEJmv,2018-08-09 15:09:05.869,68.0,com.sec.android.app.shealth,2018-08-09 15:09:08.056,,,2cb2ea71-410b-4f75-9dfc-eb420bcdb787,10002,,
2018-09-16 00:31:29.908,UTC-0300,9.0,2cff13e8-de5e-4a76-a6c6-19b7f49ac863.custom.json,2018-09-16 00:31:26.303,dgrrqaEJmv,2018-09-16 00:31:26.303,9.0,com.sec.android.app.shealth,2018-09-16 00:31:29.908,9.0,,2cff13e8-de5e-4a76-a6c6-19b7f49ac863,10002,,1
2018-06-19 21:36:15.986,UTC-0600,,2dc3a515-8d75-4593-94ea-34c11651043e.custom.json,,avnWu77KPA,2018-06-19 21:36:13.750,50.0,com.sec.android.app.shealth,2018-06-19 21:36:15.986,,,2dc3a515-8d75-4593-94ea-34c11651043e,10002,,
2018-08-02 21:59:26.194,UTC-0300,,2dd0296b-1be8-4974-bfd9-fee8e8803630.custom.json,,dgrrqaEJmv,2018-08-02 21:59:24.059,45.0,com.sec.android.app.shealth,2018-08-02 21:59:26.194,,,2dd0296b-1be8-4974-bfd9-fee8e8803630,10002,,
2018-06-03 19:06:20.705,UTC-0300,,2df6b3d9-492e-4414-9334-41e254e19755.custom.json,,avnWu77KPA,2018-06-03 19:06:18.479,31.0,com.sec.android.app.shealth,2018-06-03 19:06:20.705,,,2df6b3d9-492e-4414-9334-41e254e19755,10002,,
2018-08-11 21:42:28.660,UTC-0400,,31c8562e-edda-4d40-aa63-97180e5fc9cf.custom.json,,dgrrqaEJmv,2018-08-11 21:42:26.750,31.0,com.sec.android.app.shealth,2018-08-11 21:42:28.660,,,31c8562e-edda-4d40-aa63-97180e5fc9cf,10002,,
2018-09-08 00:30:27.438,UTC-0300,,31d0888f-2180-4ffd-b981-02342df4628f.custom.json,,dgrrqaEJmv,2018-09-08 00:30:23.099,37.0,com.sec.android.app.shealth,2018-09-08 00:30:27.438,,,31d0888f-2180-4ffd-b981-02342df4628f,10002,,
2018-06-27 19:35:41.898,UTC-0600,,32db2eb5-3234-4f45-99f3-3c8f7c21ff2c.custom.json,,avnWu77KPA,2018-06-27 19:35:38.844,37.0,com.sec.android.app.shealth,2018-06-27 19:35:41.898,,,32db2eb5-3234-4f45-99f3-3c8f7c21ff2c,10002,,
