create_time	distance	time_offset	count	speed	calorie
1534119299.687	71.92	UTC-0400	105	1.1986666	3.16
1533880490.642	29.11	UTC-0400	42	1.1944444	1.26
1531025653.102	76.09	UTC-0600	109	1.2681665	3.27
1531198498.259	16.61	UTC-0300	21	1.9444444	0.71
1533430519.061	81.21	UTC-0300	117	1.3535	3.51
1534585249.68	51.74	UTC-0500	75	1.1666666	2.25
1533792923.461	8.32	UTC-0400	7	2.0277777	0.52
1534484618.418	72.8	UTC-0500	109	1.2133334	3.45
1533355680.306	46.63	UTC-0300	66	1.2777778	1.97
1534215288.054	77.34	UTC-0500	110	1.2889999	3.3
1534236737.167	9.34	UTC-0500	14	1.0277778	0.42
1533424499.47	100.21	UTC-0300	141	1.6701667	4.23
1531430124.598	69.44	UTC-0300	98	1.3333334	2.94
1532852576.176	6.03	UTC-0300	8	1.6666666	0.22
1534113318.826	77.0	UTC-0400	110	1.2833333	3.3
1531614701.666	75.84	UTC-0300	104	1.5	3.1
1534390610.733	65.78001	UTC-0500	95	1.1881777	2.85
1531453868.219	78.73	UTC-0300	113	1.3121667	3.39
1531720498.462	76.83	UTC-0300	111	1.2805	3.33
1531969611.934	58.6	UTC-0300	90	1.4166666	3.29
1532558976.782	77.0	UTC-0300	110	1.2833333	3.3
1534733485.36	87.18	UTC-0300	124	1.4530001	3.72
1533194096.445	3.52	UTC-0300	5	1.3055556	0.15
1533705275.897	7.36	UTC-0400	11	0.9444444	0.33
1534319915.926	67.95	UTC-0500	99	1.1388888	2.97
1534655724.395	90.93	UTC-0300	126	1.5155001	3.78
1531455474.506	5.73	UTC-0300	8	1.6388888	0.24
1531937696.008	46.24	UTC-0300	77	1.3611112	3.64
1533520710.196	40.9	UTC-0300	53	1.7672	1.7399995
1531290320.823	33.99	UTC-0300	58	1.3055556	3.11
1534216206.216	43.42	UTC-0500	61	1.3333334	1.82
1533354900.312	82.58	UTC-0300	117	1.3763334	3.51
1532744941.235	52.34	UTC-0300	75	1.25	2.25
1531935817.039	85.08	UTC-0300	113	1.6666666	3.62
1532824344.153	5.96	UTC-0300	8	1.3333334	0.23
1532110304.913	23.66	UTC-0300	34	1.220153	1.02
1533435335.251	49.440002	UTC-0300	72	1.1610813	2.16
1534604565.003	77.26	UTC-0300	110	1.2876667	3.3
1530843299.672	37.16	UTC-0600	51	1.4444444	1.58
